% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.1100559 42.8452110 -10.0668 -1.0000000e+00 -1.3000000e+01 5.0000000e+02 5.0000000e+02 1.0878672e-01 -1.0000000e+01 3.6000000e+01 2.1000000e+02 1.8885257e+00 3.6000000e+00
13.2272482 42.7903633 -1.83778 -5.0000000e-01 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 3.6000000e+01 2.1000000e+02 3.3384734e+00 3.6000000e+00
13.2229528 42.7921829 -2.13168 -5.0000000e-01 5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 3.6000000e+01 2.1000000e+02 3.1535901e+00 3.6000000e+00
13.2186584 42.7940025 -2.42557 -5.0000000e-01 0.0000000e+00 5.0000000e+02 5.0000000e+02 1.3589429e-02 -2.7627366e+01 3.6000000e+01 2.1000000e+02 2.9687444e+00 3.6000000e+00
13.2143631 42.7958221 -2.71946 -5.0000000e-01 -5.0000000e-01 5.0000000e+02 5.0000000e+02 5.7943274e-01 -1.3459336e+01 3.6000000e+01 2.1000000e+02 2.7839438e+00 3.6000000e+00
13.2100687 42.7976418 -3.01336 -5.0000000e-01 -1.0000000e+00 5.0000000e+02 5.0000000e+02 1.4094014e+00 -1.2922489e+01 3.6000000e+01 2.1000000e+02 2.5991979e+00 3.6000000e+00
13.2057734 42.7994614 -3.30725 -5.0000000e-01 -1.5000000e+00 5.0000000e+02 5.0000000e+02 2.2098931e+00 -1.2966492e+01 3.6000000e+01 2.1000000e+02 2.4145194e+00 3.6000000e+00
13.2014790 42.8012810 -3.60114 -5.0000000e-01 -2.0000000e+00 5.0000000e+02 5.0000000e+02 2.6873056e+00 -1.3372350e+01 3.6000000e+01 2.1000000e+02 2.2299249e+00 3.6000000e+00
13.1971836 42.8031006 -3.89503 -5.0000000e-01 -2.5000000e+00 5.0000000e+02 5.0000000e+02 2.7025349e+00 -1.4434878e+01 3.6000000e+01 2.1000000e+02 2.0454372e+00 3.6000000e+00
13.1928892 42.8049202 -4.18893 -5.0000000e-01 -3.0000000e+00 5.0000000e+02 5.0000000e+02 2.4324390e+00 -1.6303095e+01 3.6000000e+01 2.1000000e+02 1.8610881e+00 3.6000000e+00
13.1885939 42.8067398 -4.48282 -5.0000000e-01 -3.5000000e+00 5.0000000e+02 5.0000000e+02 2.0573580e+00 -1.8907503e+01 3.6000000e+01 2.1000000e+02 1.6769232e+00 3.6000000e+00
13.1842995 42.8085594 -4.77671 -5.0000000e-01 -4.0000000e+00 5.0000000e+02 5.0000000e+02 1.7576325e+00 -2.1484237e+01 3.6000000e+01 2.1000000e+02 1.4930107e+00 3.6000000e+00
13.1800041 42.8103790 -5.0706 -5.0000000e-01 -4.5000000e+00 5.0000000e+02 5.0000000e+02 1.5709758e+00 -2.3073608e+01 3.6000000e+01 2.1000000e+02 1.3094570e+00 3.6000000e+00
13.1757097 42.8121986 -5.3645 -5.0000000e-01 -5.0000000e+00 5.0000000e+02 5.0000000e+02 1.4046656e+00 -2.4140210e+01 3.6000000e+01 2.1000000e+02 1.1264375e+00 3.6000000e+00
13.1714144 42.8140221 -5.65839 -5.0000000e-01 -5.5000000e+00 5.0000000e+02 5.0000000e+02 1.2433881e+00 -2.5017609e+01 3.6000000e+01 2.1000000e+02 9.4426287e-01 3.6000000e+00
13.1671190 42.8158417 -5.95228 -5.0000000e-01 -6.0000000e+00 5.0000000e+02 5.0000000e+02 1.0718294e+00 -2.6310309e+01 3.6000000e+01 2.1000000e+02 7.6353808e-01 3.6000000e+00
13.1628246 42.8176613 -6.24617 -5.0000000e-01 -6.5000000e+00 5.0000000e+02 5.0000000e+02 8.7090627e-01 -2.8919577e+01 3.6000000e+01 2.1000000e+02 5.8560697e-01 3.6000000e+00
13.1585293 42.8194809 -6.54007 -5.0000000e-01 -7.0000000e+00 5.0000000e+02 5.0000000e+02 6.5378585e-01 -3.3571641e+01 3.6000000e+01 2.1000000e+02 4.1408666e-01 3.6000000e+00
