% lon        lat           depth(km)    x(km)   y(km)        dx              dy              slip(m)     rake             dip          strike      timerup(s)    rise(s)
13.0348177 42.9431534 -10.2514 -1.0000000e+00 -1.3000000e+01 5.0000000e+02 5.0000000e+02 4.1398912e-02 -1.3000000e+02 4.7000000e+01 1.5500000e+02 4.6565731e+00 3.6000000e+00
13.0310183 42.9418564 -10.617 -1.0000000e+00 -1.3500000e+01 5.0000000e+02 5.0000000e+02 4.3673662e-02 -1.2690720e+02 4.7000000e+01 1.5500000e+02 4.6736615e+00 3.6000000e+00
13.0272179 42.9405594 -10.9827 -1.0000000e+00 -1.4000000e+01 5.0000000e+02 5.0000000e+02 4.1940577e-02 -1.2229513e+02 4.7000000e+01 1.5500000e+02 4.6974809e+00 3.6000000e+00
13.0234175 42.9392662 -11.3484 -1.0000000e+00 -1.4500000e+01 5.0000000e+02 5.0000000e+02 3.5565896e-02 -1.2027624e+02 4.7000000e+01 1.5500000e+02 4.7279294e+00 3.6000000e+00
13.0196180 42.9379692 -11.7141 -1.0000000e+00 -1.5000000e+01 5.0000000e+02 5.0000000e+02 2.6450906e-02 -1.1867712e+02 4.7000000e+01 1.5500000e+02 4.7648800e+00 3.6000000e+00
13.1438169 42.9753838 -0.0124023 -5.0000000e-01 1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.4409603e+00 3.6000000e+00
13.1400166 42.9740868 -0.378079 -5.0000000e-01 5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.3134534e+00 3.6000000e+00
13.1362171 42.9727898 -0.743756 -5.0000000e-01 0.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 6.1884727e+00 3.6000000e+00
13.1324167 42.9714928 -1.10943 -5.0000000e-01 -5.0000000e-01 5.0000000e+02 5.0000000e+02 0.0000000e+00 -1.3000000e+02 4.7000000e+01 1.5500000e+02 6.0661742e+00 3.6000000e+00
13.1286163 42.9701958 -1.47511 -5.0000000e-01 -1.0000000e+00 5.0000000e+02 5.0000000e+02 0.0000000e+00 -9.0000000e+01 4.7000000e+01 1.5500000e+02 5.9467235e+00 3.6000000e+00
13.1248169 42.9688988 -1.84079 -5.0000000e-01 -1.5000000e+00 5.0000000e+02 5.0000000e+02 1.5841915e-03 -1.3000000e+02 4.7000000e+01 1.5500000e+02 5.8302956e+00 3.6000000e+00
13.1210165 42.9676018 -2.20646 -5.0000000e-01 -2.0000000e+00 5.0000000e+02 5.0000000e+02 1.1264062e-02 -1.2500000e+02 4.7000000e+01 1.5500000e+02 5.7170752e+00 3.6000000e+00
13.1172161 42.9663048 -2.57214 -5.0000000e-01 -2.5000000e+00 5.0000000e+02 5.0000000e+02 3.2537742e-02 -1.1093967e+02 4.7000000e+01 1.5500000e+02 5.6072566e+00 3.6000000e+00
13.1134167 42.9650078 -2.93782 -5.0000000e-01 -3.0000000e+00 5.0000000e+02 5.0000000e+02 6.2205506e-02 -1.0730545e+02 4.7000000e+01 1.5500000e+02 5.5010435e+00 3.6000000e+00
13.1096163 42.9637146 -3.30349 -5.0000000e-01 -3.5000000e+00 5.0000000e+02 5.0000000e+02 9.2684711e-02 -1.0483414e+02 4.7000000e+01 1.5500000e+02 5.3986487e+00 3.6000000e+00
13.1058168 42.9624176 -3.66917 -5.0000000e-01 -4.0000000e+00 5.0000000e+02 5.0000000e+02 1.1639271e-01 -1.0172971e+02 4.7000000e+01 1.5500000e+02 5.3002936e+00 3.6000000e+00
13.1020164 42.9611206 -4.03485 -5.0000000e-01 -4.5000000e+00 5.0000000e+02 5.0000000e+02 1.3244914e-01 -9.5483507e+01 4.7000000e+01 1.5500000e+02 5.2062070e+00 3.6000000e+00
